datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2020-02-17,,,480135119.0,,,,,,,,1904662.63,,,,893342.982,2036473.78,,,185338.179,,,,,,,,,,,,,,10581035.75,,2129022.892,,,,,,,,,,,10481882.6,,,,,,,,29599801.05,1027609.908,,,,,257225.54,,,,,,,,,,,,,,,,,,,,,,,,2121016983.0,,,,628630815.0,,,,,135520645.0,244112.596,322587027.3,11700445.4,249737.318,,2020-02-17
2020-02-18,,,408675432.0,,,,,,,,1513693.03,,,,427137.061,1293664.26,,,166119.369,,,,,,,,,,,,,,6469800.4,,1885124.383,,,,,,,,,,,11115592.7,,,,,,,,22201270.68,759448.8,,,,,407657.15,,,,,,,,,,,,,,,,,,,,,,,,1898593032.0,,,,879597838.0,,,,,98998391.0,96280.155,335345319.1,11171494.5,220269.2,,2020-02-18
2020-02-19,,,360991315.0,,,,,,,,1778122.27,,,,350040.476,1411342.31,,,187495.927,,,,,,,,,,,,,,6082487.1,,1677778.697,,,,,,,,,,,8257363.5,,,,,,,,22940583.81,1082076.133,,,,,280442.44,,,,,,,,,,,,,,,,,,,,,,,,1627784577.0,,,,602594708.0,,,,,87737788.0,102052.217,334818871.3,15907518.7,124006.937,,2020-02-19
2020-02-20,,,323424931.0,,,,,,,,2241518.52,,,,439154.845,1244980.04,,,143105.587,,,,,,,,,,,,,,6506558.56,,1618473.989,,,,,,,,,,,6719465.8,,,,,,,,17990206.45,791753.105,,,,,156744.42,,,,,,,,,,,,,,,,,,,,,,,,1613962054.0,,,,356250724.0,,,,,70798877.0,106364.563,334462467.7,18773735.7,181149.109,,2020-02-20
2020-02-21,,,324430721.0,,,,,,,,4334831.35,,,,345691.019,972969.37,,,98954.288,,,,,,,,,,,,,,8050932.0,,985301.295,,,,,,,,,,,6929361.0,,,,,,,,14439042.63,1146695.16,,,,,203653.84,,,,,,,,,,,,,,,,,,,,,,,,1364958223.0,,,,350534510.0,,,,,41691821.0,103280.87,242451597.6,11714651.3,112631.857,,2020-02-21
2020-02-22,,,275321494.0,,,,,,,,4089454.98,,,,240633.654,736112.42,,,58419.547,,,,,,,,,,,,,,5718897.82,,752957.418,,,,,,,,,,,6285019.8,,,,,,,,13391901.76,1153653.768,,,,,185606.93,,,,,,,,,,,,,,,,,,,,,,,,976261044.0,,,,205501511.0,,,,,31224954.0,115768.617,165919424.0,10973462.7,62341.265,,2020-02-22
2020-02-23,,,346239333.0,,,,,,,,3010097.42,,,,288177.606,1007250.63,,,97134.358,,,,,,,,,,,,,,6538119.35,,940831.98,,,,,,,,,,,6109610.9,,,,,,,,12543473.13,1309914.943,,,,,188187.7,,,,,,,,,,,,,,,,,,,,,,,,892187336.0,,,,247657586.0,,,,,53821744.0,140935.878,215394996.2,8964970.9,107643.865,,2020-02-23
2020-02-24,,,387317026.0,,,,,,,,4888439.01,,,,454837.177,1270055.15,,,157965.671,,,,,,,,,,,,,,7832055.43,,1483265.023,,,,,,,,,,,8093321.5,,,,,,,,17653202.98,1871316.693,,,,,272312.59,,,,,,,,,,,,,,,,,,,,,,,,1213319451.0,,,,705960893.0,,,,,66160441.0,179932.354,282851019.0,15321878.4,154634.058,,2020-02-24
2020-02-25,,,364172176.0,,,,,,,,3095092.65,,,,445593.556,1444417.18,,,168641.725,,,,,,,,,,,,,,7409334.87,,1563901.657,,,,,,,,,,,7605390.3,,,,,,,,21775940.01,1637648.766,,,,,237188.36,,,,,,,,,,,,,,,,,,,,,,,,1240258045.0,,,,493649362.0,,,,,87346696.0,153178.68,278756681.8,18231825.5,121131.633,,2020-02-25
2020-02-26,,,577235373.0,,,,,,,,3821641.65,,,,977175.513,2294044.51,,,267005.172,,,,,,,,,,,,,,13063466.61,,2729291.802,,,,,,,,,,,13568333.1,,,,,,,,33762852.07,2240594.829,,,,,311652.64,,,,,,,,,,,,,,,,,,,,,,,,2378566726.0,,,,556130476.0,,,,,149231793.0,149823.543,508044420.4,31069621.0,230130.046,,2020-02-26
