datetime,1INCH,AAVE,ADA,AERO,AKT,ALGO,APE,APT,ARB,AR,ATOM,AVAX,AXL,AXS,BCH,BNB,BRETT,BSV,BTC,CAKE,CFX,CHZ,COMP,CRV,DOGE,DOT,DRIFT,DYDX,EGLD,EIGEN,ENA,ENS,ETC,ETHFI,ETH,FARTCOIN,FET,FIL,FLOW,GALA,GRT,HBAR,ICP,IMX,INJ,IOTA,JASMY,JTO,JUP,KAIA,KAS,KAVA,LDO,LINK,LTC,MANA,MORPHO,MOVE,NEAR,NEO,ONDO,OP,PENDLE,PENGU,POL,POPCAT,PYTH,QNT,RENDER,RUNE,SAND,SEI,SOL,SPX,STRK,STX,SUI,SUN,SUPER,TAO,THETA,TIA,TON,TRX,TURBO,TWT,UNI,VET,VIRTUAL,WIF,WLD,W,XLM,XMR,XRP,XTZ,ZEC,ZK,date
2020-02-11,,,20148978.35808,,,,,,,,9963445.0044,,,,183603026.7552,45833608.45294999,,,1944746994.8239,,,,,,,,,,,,,,94339168.1224,,283236974.00768,,,,,,,,,,,,,,,,,,,80746783.01525,71766712.4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36165318.40122,,,,,,,,,10746009.64002,19614016.29072,47938624.36352,21233147.3964,6723107.442,,2020-02-11
2020-02-12,,,37726090.7205,,,,,,,,8147661.810889999,,,,172288117.0159,34684811.96697,,,1651030230.97742,,,,,,,,,,,,,,89410782.40339,,592066502.67648,,,,,,,,,,,8473568.53128,,,,,,,,85596597.59976,111404275.06560001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53155128.96543,,,,,,,,,18265087.54756,18120688.51317,107840363.73719001,42642822.6373,8090355.410139999,,2020-02-12
2020-02-13,,,47363285.81016,,,,,,,,10140252.57886,,,,172769451.73299,36955885.97152,,,2181580992.57471,,,,,,,,,,,,,,112705535.87853,,640861228.4096,,,,,,,,,,,9455607.95837,,,,,,,,59662996.95944,131390974.93944001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82576913.74191001,,,,,,,,,25702579.12518,20026641.42952,251088686.9946,33303212.4672,8759298.46788,,2020-02-13
2020-02-14,,,34817866.5439,,,,,,,,6265045.2856,,,,160608672.532,33540317.79952,,,1356492225.68772,,,,,,,,,,,,,,57460831.497949995,,413019799.34499997,,,,,,,,,,,6965932.0534,,,,,,,,72691190.5709,74379844.48776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78688401.76764,,,,5234414.140233,,,,,12424925.68506,10655680.91405,117351448.61727999,34262057.665,6009485.08416,,2020-02-14
2020-02-15,,,31762262.48531,,,,,,,,8615537.41824,,,,201449280.05037,38813448.21988,,,1508527327.74373,,,,,,,,,,,,,,103412562.344,,510337427.07803994,,,,,,,,,,,5457164.977499999,,,,,,,,109057968.65400001,70860605.2608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60878987.81328,,,,7463001.947823,,,,,14345807.6048,13333747.221290002,139503942.36975,34515324.030600004,6898427.61732,,2020-02-15
2020-02-16,,,31980878.619179998,,,,,,,,9893976.43296,,,,243683930.7956,41516078.90398,,,1404419002.7181602,,,,,,,,,,,,,,106449580.05485,,594751598.9768701,,,,,,,,,,,4142980.12275,,,,,,,,161388493.9553,88376900.2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67837936.23257,,,,6060534.652896,,,,,15079943.19132,25299967.61853,124142936.687,30508450.951000005,10668938.94066,,2020-02-16
2020-02-17,,,28923339.56856,,,,,,,,8140528.080619999,,,,369156120.45186,47759383.08856001,,,1800745747.164,,,,,,,,,,,,,,102382101.917,,570578135.056,,,,,,,,,,,2967420.96406,,,,,,,,127338344.11709999,75632089.2288,,,,,3860183.67878,,,,,,,,,,,,,,,,,,,,,,,,46259380.399229996,,,,4243258.00125,,,,,9879455.0205,20188111.6892,92808287.75421001,37008508.8002,16035633.188779999,,2020-02-17
2020-02-18,,,25677077.392559998,,,,,,,,6722310.74623,,,,179752089.38063,31169546.68044,,,1690151618.40408,,,,,,,,,,,,,,63863399.74840001,,533414795.41367996,,,,,,,,,,,3230191.23862,,,,,,,,101326599.38352,58773742.63200001,,,,,6349260.11125,,,,,,,,,,,,,,,,,,,,,,,,43003132.1748,,,,6209960.73628,,,,,7529817.619460001,8313791.384249999,100234715.87899001,38429941.08,14517942.972,,2020-02-18
2020-02-19,,,20710071.74155,,,,,,,,7375651.17596,,,,132528824.61836001,31567493.447770003,,,1798770300.06355,,,,,,,,,,,,,,53598876.32519999,,433588348.66571,,,,,,,,,,,2201413.1091,,,,,,,,100617400.59065999,76351291.94448,,,,,3943020.7064,,,,,,,,,,,,,,,,,,,,,,,,32864970.60963,,,,3905416.3025479997,,,,,6145154.67152,7931498.305240001,91941262.05898,56392153.791499995,7697110.57959,,2020-02-19
2020-02-20,,,18816862.48558,,,,,,,,10015104.74736,,,,162913272.84965,27627352.06764,,,1374098415.31813,,,,,,,,,,,,,,57726187.544319995,,416125847.31179005,,,,,,,,,,,1783346.22332,,,,,,,,76764210.92215,54979335.6112,,,,,2199594.4458600003,,,,,,,,,,,,,,,,,,,,,,,,31988727.91028,,,,2315985.956724,,,,,4979285.01941,8133698.13261,90639328.7467,67754412.1413,11013865.8272,,2020-02-20
